code,interlevel,location,original
012812023,Bgy,Gabu Norte West,False
012812023,Bgy,"Bgy. No. 34-A, Gabu Norte West",True
012812024,Bgy,Bgy. No. 35,False
012812024,Bgy,Gabu Sur,False
012812024,Bgy,"Bgy. No. 35, Gabu Sur",True
012812026,Bgy,Bgy. No. 32-C,False
012812026,Bgy,La Paz East,False
012812026,Bgy,Bgy. No. 32-C La Paz East,True
012812027,Bgy,"Bgy. No. 33-B, La Paz Proper",True
012812027,Bgy,Bgy. No. 33-B,False
012812027,Bgy,La Paz Proper,False
012812028,Bgy,Bgy. No. 32-B,False
012812028,Bgy,La Paz West,False
012812028,Bgy,"Bgy. No. 32-B, La Paz West",True
012812029,Bgy,Bgy. No. 54-A,False
012812029,Bgy,Lagui-Sail,False
012812029,Bgy,"Bgy. No. 54-A, Lagui-Sail",True
012812030,Bgy,"Bgy. No. 32-A, La Paz East",True
012812030,Bgy,Bgy. No. 32-A,False
012812030,Bgy,La Paz East,False
012812031,Bgy,Bgy. No. 33-A,False
012812031,Bgy,La Paz Proper,False
012812031,Bgy,"Bgy. No. 33-A, La Paz Proper",True
012812032,Bgy,Bgy. No. 52-B,False
012812032,Bgy,Lataag,False
012812032,Bgy,"Bgy. No. 52-B, Lataag",True
012812033,Bgy,"Bgy. No. 60-B, Madiladig",True
012812033,Bgy,Bgy. No. 60-B,False
012812033,Bgy,Madiladig,False
012812034,Bgy,Bgy. No. 38-A,False
012812034,Bgy,Mangato East,False
012812034,Bgy,"Bgy. No. 38-A, Mangato East",True
012812035,Bgy,Bgy. No. 38-B,False
012812035,Bgy,Mangato West,False
012812035,Bgy,"Bgy. No. 38-B, Mangato West",True
012812036,Bgy,Bgy. No. 62-A,False
012812036,Bgy,Navotas North,False
012812036,Bgy,"Bgy. No. 62-A, Navotas North",True
012812037,Bgy,Bgy. No. 62-B,False
012812037,Bgy,Navotas South,False
012812037,Bgy,"Bgy. No. 62-B, Navotas South",True
012812038,Bgy,Bgy. No. 46,False
012812038,Bgy,Nalbo,False
012812038,Bgy,"Bgy. No. 46, Nalbo",True
012812039,Bgy,Bgy. No. 51-A,False
012812039,Bgy,Nangalisan East,False
012812039,Bgy,"Bgy. No. 51-A, Nangalisan East",True
012812040,Bgy,Bgy. No. 51-B,False
012812040,Bgy,Nangalisan West,False
012812040,Bgy,"Bgy. No. 51-B, Nangalisan West",True
012812041,Bgy,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)",False
012812041,Bgy,Nstra. Sra. De Consolacion,False
012812041,Bgy,"Bgy. No. 24, Nstra. Sra. De Consolacion",True
012812041,Bgy,Bgy. No. 24,False
012812042,Bgy,Nstra. Sra. De Natividad,False
012812042,Bgy,"Bgy. No. 7-A, Nstra. Sra. De Natividad",True
012812042,Bgy,Bgy. No. 7-A,False
012812042,Bgy,"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)",False
012812043,Bgy,Bgy. No. 7-B,False
012812043,Bgy,Nstra. Sra. De Natividad,False
012812043,Bgy,"Bgy. No. 7-B, Nstra. Sra. De Natividad",True
012812043,Bgy,"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)",False
012812044,Bgy,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)",False
012812044,Bgy,Bgy. No. 27,False
012812044,Bgy,Nstra. Sra. De Soledad,False
012812044,Bgy,"Bgy. No. 27, Nstra. Sra. De Soledad",True
012812045,Bgy,Bgy. No. 13,False
012812045,Bgy,"Bgy. No. 13, Nstra. Sra. De Visitacion",True
012812045,Bgy,Nstra. Sra. De Visitacion,False
012812045,Bgy,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)",False
012812046,Bgy,"Bgy. No. 3, Nstra. Sra. Del Rosario",True
012812046,Bgy,Bgy. No. 3,False
012812046,Bgy,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)",False
012812046,Bgy,Nstra. Sra. Del Rosario,False
012812047,Bgy,Bgy. No. 57,False
012812047,Bgy,"Bgy. No. 57, Pila",True
012812047,Bgy,Pila,False
012812048,Bgy,Bgy. No. 49-B,False
012812048,Bgy,Raraburan,False
012812048,Bgy,"Bgy. No. 49-B, Raraburan",True
012812049,Bgy,Bgy. No. 53,False
012812049,Bgy,Rioeng,False
012812049,Bgy,"Bgy. No. 53, Rioeng",True
012812050,Bgy,"Bgy. No. 55-B, Salet-Bulangon",True
012812050,Bgy,Salet-Bulangon,False
012812050,Bgy,Bgy. No. 55-B,False
012812053,Bgy,Bgy. No. 6,False
012812053,Bgy,San Agustin,False
012812053,Bgy,"Bgy. No. 6, San Agustin",True
012812053,Bgy,"Bgy. No. 6, San Agustin (Pob.)",False
012812054,Bgy,"Bgy. No. 22, San Andres (Pob.)",False
012812054,Bgy,San Andres,False
012812054,Bgy,"Bgy. No. 22, San Andres",True
012812054,Bgy,Bgy. No. 22,False
012812055,Bgy,"Bgy. No. 28, San Bernardo",True
012812055,Bgy,San Bernardo,False
012812055,Bgy,Bgy. No. 28,False
012812055,Bgy,"Bgy. No. 28, San Bernardo (Pob.)",False
012812056,Bgy,Bgy. No. 17,False
012812056,Bgy,"Bgy. No. 17, San Francisco",True
012812056,Bgy,San Francisco,False
012812056,Bgy,"Bgy. No. 17, San Francisco (Pob.)",False
012812057,Bgy,"Bgy. No. 4, San Guillermo (Pob.)",False
012812057,Bgy,"Bgy. No. 4, San Guillermo",True
012812057,Bgy,San Guillermo,False
012812057,Bgy,Bgy. No. 4,False
012812058,Bgy,"Bgy. No. 15, San Guillermo (Pob.)",False
012812058,Bgy,Bgy. No. 15,False
012812058,Bgy,San Guillermo,False
012812058,Bgy,"Bgy. No. 15, San Guillermo",True
012812059,Bgy,San Isidro,False
012812059,Bgy,"Bgy. No. 12, San Isidro (Pob.)",False
012812059,Bgy,Bgy. No. 12,False
012812059,Bgy,"Bgy. No. 12, San Isidro",True
012812060,Bgy,"Bgy. No. 16, San Jacinto",True
012812060,Bgy,San Jacinto,False
012812060,Bgy,Bgy. No. 16,False
012812060,Bgy,"Bgy. No. 16, San Jacinto (Pob.)",False
012812061,Bgy,Bgy. No. 10,False
012812061,Bgy,San Jose,False
012812061,Bgy,"Bgy. No. 10, San Jose",True
012812061,Bgy,"Bgy. No. 10, San Jose (Pob.)",False
012812062,Bgy,"Bgy. No. 1, San Lorenzo",True
012812062,Bgy,"Bgy. No. 1, San Lorenzo (Pob.)",False
012812062,Bgy,Bgy. No. 1,False
012812062,Bgy,San Lorenzo,False
012812063,Bgy,"Bgy. No. 26, San Marcelino",True
012812063,Bgy,San Marcelino,False
012812063,Bgy,Bgy. No. 26,False
012812063,Bgy,"Bgy. No. 26, San Marcelino (Pob.)",False
012812064,Bgy,Bgy. No. 52-A,False
012812064,Bgy,San Mateo,False
012812064,Bgy,"Bgy. No. 52-A, San Mateo",True
012812065,Bgy,San Matias,False
012812065,Bgy,"Bgy. No. 23, San Matias",True
012812065,Bgy,Bgy. No. 23,False
012812065,Bgy,"Bgy. No. 23, San Matias (Pob.)",False
