,location,code,PSGC,Municipality/City,Poverty
1372,PALUAN,175107000,175107000.0,Paluan,40.6
1373,RIZAL,175108000,175108000.0,Rizal,36.5
1374,SABLAYAN,175109000,175109000.0,Sablayan,28.6
1375,SAN JOSE,175110000,175110000.0,San Jose,22.7
1376,SANTA CRUZ,175111000,175111000.0,Santa Cruz,28.4
1377,BACO,175201000,175201000.0,Baco,25.3
1378,BANSUD,175202000,175202000.0,Bansud,26.6
1379,BONGABONG,175203000,175203000.0,Bongabong,25.0
1380,BULALACAO,175204000,175204000.0,Bulalacao,41.0
1381,BULALACAO,175204000,175204000.0,Bulalacao,41.0
1382,SAN PEDRO,175204000,175204000.0,Bulalacao,41.0
1383,SAN PEDRO,175204000,175204000.0,Bulalacao,41.0
1384,CALAPAN,175205000,175205000.0,Calapan City,9.3
1385,GLORIA,175206000,175206000.0,Gloria,16.9
1386,MANSALAY,175207000,175207000.0,Mansalay,31.8
1387,NAUJAN,175208000,175208000.0,Naujan,19.0
1388,PINAMALAYAN,175209000,175209000.0,Pinamalayan,19.7
1389,POLA,175210000,175210000.0,Pola,18.3
1390,PUERTO GALERA,175211000,175211000.0,Puerto Galera,7.9
1391,ROXAS,175212000,175212000.0,Roxas,19.2
1392,SAN TEODORO,175213000,175213000.0,San Teodoro,22.4
1393,SOCORRO,175214000,175214000.0,Socorro,17.2
1394,VICTORIA,175215000,175215000.0,Victoria,17.4
1395,ABORLAN,175301000,175301000.0,Aborlan,21.6
1396,AGUTAYA,175302000,175302000.0,Agutaya,17.5
1397,ARACELI,175303000,175303000.0,Araceli,21.2
1398,BALABAC,175304000,175304000.0,Balabac,50.4
1399,BATARAZA,175305000,175305000.0,Bataraza,40.3
1400,BROOKE'S POINT,175306000,175306000.0,Brooke's Point,32.0
1401,BUSUANGA,175307000,175307000.0,Busuanga,22.6
1402,CAGAYANCILLO,175308000,175308000.0,Cagayancillo,31.6
1403,CORON,175309000,175309000.0,Coron,19.7
1404,CULION,175322000,175322000.0,Culion,24.9
1405,CUYO,175310000,175310000.0,Cuyo,10.0
1406,DUMARAN,175311000,175311000.0,Dumaran,24.3
1407,EL NIDO,175312000,175312000.0,El Nido,22.1
1408,EL NIDO,175312000,175312000.0,El Nido,22.1
1409,BACUIT,175312000,175312000.0,El Nido,22.1
1410,BACUIT,175312000,175312000.0,El Nido,22.1
1411,KALAYAAN,175321000,,,
1412,LINAPACAN,175313000,175313000.0,Linapacan,37.7
1413,MAGSAYSAY,175314000,175314000.0,Magsaysay,17.3
1414,NARRA,175315000,175315000.0,Narra,18.3
1415,PUERTO PRINCESA,175316000,175316000.0,Puerto Princesa City,11.3
1416,QUEZON,175317000,175317000.0,Quezon,39.1
1417,RIZAL,175323000,175323000.0,Rizal,40.5
1418,RIZAL,175323000,175323000.0,Rizal,40.5
1419,MARCOS,175323000,175323000.0,Rizal,40.5
1420,MARCOS,175323000,175323000.0,Rizal,40.5
1421,ROXAS,175318000,175318000.0,Roxas,18.3
1422,SAN VICENTE,175319000,175319000.0,San Vicente,21.6
1423,SOFRONIO ESPAÑOLA,175324000,175324000.0,Sofronio Española,30.4
1424,TAYTAY,175320000,175320000.0,Taytay,27.4
1425,ANGELES,35401000,35401000.0,Angeles City,6.7
1426,APALIT,35402000,35402000.0,Apalit,7.1
1427,ARAYAT,35403000,35403000.0,Arayat,9.5
1428,BACOLOR,35404000,35404000.0,Bacolor,9.4
1429,CANDABA,35405000,35405000.0,Candaba,12.5
1430,FLORIDABLANCA,35406000,35406000.0,Floridablanca,13.1
1431,GUAGUA,35407000,35407000.0,Guagua,7.7
1432,LUBAO,35408000,35408000.0,Lubao,8.9
1433,MABALACAT,35409000,35409000.0,Mabalacat City,8.0
1434,MACABEBE,35410000,35410000.0,Macabebe,11.3
1435,MAGALANG,35411000,35411000.0,Magalang,9.7
1436,MASANTOL,35412000,35412000.0,Masantol,20.0
1437,MEXICO,35413000,35413000.0,Mexico,8.8
1438,MINALIN,35414000,35414000.0,Minalin,8.8
1439,PORAC,35415000,35415000.0,Porac,11.1
1440,SAN FERNANDO,35416000,35416000.0,San Fernando City,6.5
1441,SAN LUIS,35417000,35417000.0,San Luis,9.6
1442,SAN SIMON,35418000,35418000.0,San Simon,12.2
1443,SANTA ANA,35419000,35419000.0,Santa Ana,8.8
1444,SANTA RITA,35420000,35420000.0,Santa Rita,7.0
1445,SANTO TOMAS,35421000,35421000.0,Santo Tomas,5.3
1446,SASMUAN,35422000,35422000.0,Sasmuan,15.9
1447,SASMUAN,35422000,35422000.0,Sasmuan,15.9
1448,SEXMOAN,35422000,35422000.0,Sasmuan,15.9
1449,SEXMOAN,35422000,35422000.0,Sasmuan,15.9
1450,AGNO,15501000,15501000.0,Agno,16.6
1451,AGUILAR,15502000,15502000.0,Aguilar,16.6
1452,ALAMINOS,15503000,15503000.0,Alaminos City,12.4
1453,ALCALA,15504000,15504000.0,Alcala,12.4
1454,ANDA,15505000,15505000.0,Anda,11.5
1455,ASINGAN,15506000,15506000.0,Asingan,9.4
1456,BALUNGAO,15507000,15507000.0,Balungao,11.0
1457,BANI,15508000,15508000.0,Bani,11.8
1458,BASISTA,15509000,15509000.0,Basista,17.6
1459,BAUTISTA,15510000,15510000.0,Bautista,14.1
1460,BAYAMBANG,15511000,15511000.0,Bayambang,13.9
1461,BINALONAN,15512000,15512000.0,Binalonan,8.8
1462,BINMALEY,15513000,15513000.0,Binmaley,9.2
1463,BOLINAO,15514000,15514000.0,Bolinao,16.9
1464,BUGALLON,15515000,15515000.0,Bugallon,14.7
1465,BURGOS,15516000,15516000.0,Burgos,13.7
1466,CALASIAO,15517000,15517000.0,Calasiao,8.7
1467,DAGUPAN,15518000,15518000.0,Dagupan City,9.2
1468,DASOL,15519000,15519000.0,Dasol,12.8
1469,INFANTA,15520000,15520000.0,Infanta,14.2
1470,LABRADOR,15521000,15521000.0,Labrador,11.0
1471,LAOAC,15548000,15548000.0,Laoac,10.7
1472,LINGAYEN,15522000,15522000.0,Lingayen,10.6
1473,MABINI,15523000,15523000.0,Mabini,14.9
1474,MALASIQUI,15524000,15524000.0,Malasiqui,12.3
1475,MANAOAG,15525000,15525000.0,Manaoag,11.6
1476,MANGALDAN,15526000,15526000.0,Mangaldan,11.5
1477,MANGATAREM,15527000,15527000.0,Mangatarem,14.7
1478,MAPANDAN,15528000,15528000.0,Mapandan,11.4
1479,NATIVIDAD,15529000,15529000.0,Natividad,11.7
1480,POZORRUBIO,15530000,15530000.0,Pozorrubio,10.2
1481,ROSALES,15531000,15531000.0,Rosales,13.3
1482,SAN CARLOS,15532000,15532000.0,San Carlos City,12.3
1483,SAN FABIAN,15533000,15533000.0,San Fabian,10.1
1484,SAN JACINTO,15534000,15534000.0,San Jacinto,11.5
1485,SAN MANUEL,15535000,15535000.0,San Manuel,12.4
1486,SAN NICOLAS,15536000,15536000.0,San Nicolas,13.1
1487,SAN QUINTIN,15537000,15537000.0,San Quintin,12.6
1488,SANTA BARBARA,15538000,15538000.0,Santa Barbara,11.7
1489,SANTA MARIA,15539000,15539000.0,Santa Maria,11.8
1490,SANTO TOMAS,15540000,15540000.0,Santo Tomas,12.2
1491,SISON,15541000,15541000.0,Sison,10.0
1492,SUAL,15542000,15542000.0,Sual,13.5
1493,TAYUG,15543000,15543000.0,Tayug,11.3
1494,UMINGAN,15544000,15544000.0,Umingan,12.5
1495,URBIZTONDO,15545000,15545000.0,Urbiztondo,18.9
1496,URDANETA,15546000,15546000.0,Urdaneta City,9.8
1497,VILLASIS,15547000,15547000.0,Villasis,10.2
1498,AGDANGAN,45601000,45601000.0,Agdangan,15.2
1499,ALABAT,45602000,45602000.0,Alabat,7.6
1500,ATIMONAN,45603000,45603000.0,Atimonan,27.5
